IDs Xsnap Ysnap IDr Xcoord Ycoord YYYY MM QMIN Q10 Q20 Q30 Q40 Q50 Q60 Q70 Q80 Q90 QMAX
8372 -72.151253 42.927917 24642 -8031840.500000 4778714.000000 1962 2 0.003000 0.006000 0.006000 0.006000 0.008000 0.008000 0.337000 0.923000 1.458000 1.866000 3.851000
11830 -87.622086 32.995419 18150 -9754046.000000 3673033.250000 1962 4 0.566000 0.566000 0.595000 0.623000 0.665000 0.708000 0.736000 0.765000 0.765000 0.793000 0.850000
35815 -70.450417 -33.370419 26254 -7842504.500000 -3714778.000000 1962 4 2.520000 2.577000 2.775000 2.987000 3.285000 3.964000 5.097000 5.465000 5.975000 6.315000 7.079000
39330 149.263748 -33.547916 37975 16615964.000000 -3734537.000000 1962 7 6.290000 6.908000 7.744000 17.540001 32.209999 35.700001 39.180000 43.580002 46.790001 49.139999 52.400002
773 -88.931252 41.209583 13692 -9899782.000000 4587430.000000 1962 7 0.127000 0.166000 0.213000 0.270000 0.365000 0.453000 0.926000 1.337000 1.580000 1.903000 2.577000
30842 -122.286247 51.519585 1361 -13612843.000000 5735134.000000 1962 10 0.163000 0.190000 0.190000 0.217000 0.261000 0.265000 0.313000 0.323000 0.365000 0.421000 0.480000
36030 -71.536247 -37.338749 26711 -7963378.500000 -4156530.500000 1962 11 0.122000 0.147000 0.176000 0.195000 0.195000 0.195000 0.202000 0.221000 0.263000 0.321000 0.481000
38083 146.570419 -38.472916 38358 16316144.000000 -4282785.500000 1962 11 7.079000 7.547000 7.929000 8.495000 8.778000 8.878000 9.018000 9.160000 9.316000 9.556000 10.392000
2408 -84.362915 46.507915 13204 -9391237.000000 5177237.500000 1963 1 0.255000 0.255000 0.283000 0.311000 0.365000 0.396000 0.453000 0.510000 0.547000 0.566000 0.566000
36678 148.126251 -40.011250 38469 16489339.000000 -4454032.000000 1963 1 2.237000 2.265000 2.294000 2.322000 2.376000 2.549000 2.871000 3.273000 3.398000 3.426000 3.426000
37686 150.805420 -34.072918 38072 16787582.000000 -3792979.750000 1963 7 14.385000 17.121000 19.226999 21.334000 21.832001 22.341999 22.877001 24.840000 26.808001 31.827999 36.528999
10282 -80.072914 34.919582 17080 -8913676.000000 3887230.250000 1963 8 0.286000 0.329000 0.362000 0.365000 0.410000 0.411000 0.433000 0.440000 0.583000 0.820000 0.963000
7983 -69.314583 45.175415 22220 -7716064.000000 5028904.000000 1963 8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
11429 -84.979584 30.475416 19113 -9459884.000000 3392507.750000 1963 10 0.065000 0.076000 0.082000 0.090000 0.096000 0.130000 0.139000 0.146000 0.208000 0.566000 0.566000
34833 -51.405418 -25.938749 29317 -5722425.000000 -2887488.250000 1963 10 0.198000 0.198000 0.212000 0.212000 0.227000 0.227000 0.241000 0.241000 0.241000 0.255000 0.311000
30173 -123.082085 49.947918 1647 -13701435.000000 5560177.000000 1964 3 2.888000 3.149000 3.449000 3.987000 4.709000 5.324000 6.388000 7.719000 10.571000 12.714000 23.219999
30559 -120.005417 51.237915 1383 -13358942.000000 5703778.500000 1964 3 327.000000 333.200012 346.000000 346.799988 363.600006 367.000000 371.000000 378.799988 400.899994 415.000000 522.000000
39134 146.837082 -34.879581 38249 16345829.000000 -3882777.250000 1964 3 1.040000 1.130000 1.393000 1.440000 1.497000 1.530000 1.663000 1.730000 1.760000 2.040000 2.400000
900070 139.672913 -4.737916 900070 15548318.000000 -527422.500000 1964 3 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
26537 -66.863747 45.953751 21912 -7443238.000000 5115548.000000 1964 4 0.223000 0.352000 0.676000 0.757000 0.792000 0.814000 0.826000 0.846000 0.849000 0.856000 0.869000
22532 -122.337914 37.953751 3462 -13618594.000000 4224992.000000 1964 5 6.599000 6.960000 7.168000 7.554000 7.692000 7.960000 8.770000 9.199000 9.914000 12.399000 17.681000
35331 -48.883751 -25.514584 29208 -5441714.500000 -2840270.500000 1964 5 2.039000 2.220000 2.478000 2.520000 2.690000 3.200000 3.398000 3.596000 3.794000 4.338000 5.607000
6597 -12.452917 14.899583 30944 -1386252.375000 1658614.000000 1964 5 9.910000 13.660000 15.240000 15.680000 16.350000 18.100000 19.469999 23.379999 33.020000 54.900002 85.000000
20443 -107.145416 40.447083 8156 -11927373.000000 4502548.500000 1964 7 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.009000
6407 40.125416 9.389584 34323 4466741.000000 1045243.687500 1964 7 140.167999 147.529999 171.910995 211.923004 251.453003 308.653015 328.191010 404.364014 501.773987 557.275024 620.138000
10327 -80.996246 35.567917 16604 -9016461.000000 3959402.500000 1964 8 0.510000 0.538000 0.558000 0.566000 0.566000 0.595000 0.595000 0.595000 0.631000 0.691000 0.736000
22739 -120.963753 37.355415 3585 -13465623.000000 4158385.750000 1964 11 0.193000 0.200000 0.202000 0.202000 0.252000 0.306000 0.403000 0.624000 0.734000 0.780000 0.860000
31920 -108.850418 49.506248 6046 -12117173.000000 5511010.500000 1964 11 0.003000 0.006000 0.006000 0.006000 0.006000 0.008000 0.011000 0.013000 0.020000 0.020000 0.040000
8928 -74.169586 39.868752 23062 -8256520.500000 4438169.000000 1964 12 0.623000 0.623000 0.623000 0.623000 0.623000 0.623000 0.623000 0.623000 0.651000 0.651000 0.736000
35938 -71.237083 -35.859585 26510 -7930076.000000 -3991870.750000 1965 4 0.510000 0.609000 0.665000 0.835000 1.005000 1.203000 1.614000 2.449000 3.511000 4.248000 7.221000
4106 12.015417 48.947918 31822 1337550.125000 5448857.500000 1965 4 1.926000 2.053000 2.209000 2.421000 2.577000 3.030000 3.370000 6.300000 6.768000 7.745000 9.911000
24352 -113.513748 42.277084 12070 -12636293.000000 4706263.500000 1965 5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
36272 72.666252 65.625420 34352 8089170.000000 7305388.500000 1965 6 9.090000 9.699000 10.307000 10.916000 11.737000 15.433000 18.548000 21.252001 22.738001 24.607000 24.862000
28310 -84.917915 53.807083 12394 -9453019.000000 5989777.000000 1965 7 13.400000 13.760000 14.570000 24.280001 25.440001 26.900000 27.650000 28.820000 29.830000 31.200001 55.599998
35533 -52.822083 -30.904583 29809 -5880127.500000 -3440282.500000 1965 9 0.034000 0.042000 0.042000 0.044000 0.051000 0.052000 0.055000 0.074000 0.103000 0.198000 0.623000
35548 -53.671249 -31.534584 29845 -5974656.000000 -3510413.750000 1965 9 8.184000 8.424000 9.118000 9.911000 10.208000 10.746000 11.270000 12.374000 13.804000 16.296000 20.302999
8099 -71.747086 43.193748 24503 -7986849.000000 4808306.000000 1965 10 0.238000 0.244000 0.244000 0.244000 0.254000 0.255000 0.255000 0.258000 0.258000 0.258000 0.261000
900058 118.488747 -32.649582 900058 13190107.000000 -3634535.000000 1965 11 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
