IDs Xsnap Ysnap IDr Xcoord Ycoord YYYY MM QMIN Q10 Q20 Q30 Q40 Q50 Q60 Q70 Q80 Q90 QMAX
34495 -48.387917 -21.992083 28370 -5386518.000000 -2448147.500000 1964 11 1.614000 1.671000 1.756000 1.784000 1.841000 2.067000 2.605000 11.539000 18.604000 24.820000 57.765999
10552 -81.475418 33.069584 18120 -9069802.000000 3681289.250000 1965 1 9.061000 9.345000 10.010000 10.704000 10.888000 18.688999 21.812000 26.209999 31.997999 38.511002 55.500999
11991 -79.047081 40.228748 22901 -8799481.000000 4478244.000000 1965 4 3.568000 3.766000 3.851000 3.908000 3.908000 3.993000 4.106000 4.446000 5.026000 5.876000 7.476000
16418 -103.691254 44.813751 11789 -11542858.000000 4988644.000000 1965 4 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.002000 0.006000 0.030000 0.220000
18900 -94.953751 32.480415 18392 -10570203.000000 3615703.250000 1965 4 310.000000 327.000000 339.000000 348.000000 358.500000 377.500000 397.000000 430.500000 480.500000 520.000000 610.000000
29604 -98.888748 55.932083 12362 -11008245.000000 6226331.000000 1965 4 0.144000 0.156000 0.164000 0.174000 0.183000 0.193000 0.207000 0.228000 0.244000 0.297000 0.425000
3954 9.720417 51.003750 31583 1082071.875000 5677711.500000 1965 9 1.557000 1.557000 1.586000 1.586000 1.586000 1.614000 1.614000 1.642000 1.671000 1.671000 1.699000
7866 158.307083 54.431252 36234 17622664.000000 6059259.000000 1965 10 747.564026 820.054993 836.762024 878.953003 894.528015 928.791016 937.851990 975.796997 1125.875977 1141.733032 1166.651978
5091 23.912916 66.785416 32854 2661973.750000 7434518.500000 1965 11 2.973000 3.044000 3.115000 3.143000 3.171000 3.214000 3.242000 3.426000 3.639000 4.021000 4.191000
29041 -104.992081 50.047916 5629 -11687665.000000 5571308.500000 1966 5 3.681000 3.874000 4.630000 5.284000 5.717000 6.088000 7.345000 7.697000 8.096000 11.015000 19.170000
8169 -71.272087 42.372917 24895 -7933972.500000 4716931.500000 1966 6 0.006000 0.006000 0.006000 0.006000 0.006000 0.006000 0.006000 0.006000 0.006000 0.006000 0.006000
11977 -79.090416 40.992085 22545 -8804305.000000 4563218.000000 1966 7 0.170000 0.177000 0.190000 0.206000 0.223000 0.244000 0.250000 0.261000 0.265000 0.280000 0.311000
3414 4.142083 50.309582 31681 461094.593750 5600437.000000 1966 9 0.048000 0.048000 0.051000 0.051000 0.051000 0.052000 0.055000 0.057000 0.064000 0.076000 0.085000
17698 -94.095413 36.341251 16131 -10474653.000000 4045489.500000 1966 10 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
6651 8.409583 12.651250 32573 936150.500000 1408330.750000 1967 1 1.000000 1.026000 1.050000 1.078000 1.099000 1.120000 1.151000 1.172000 1.193000 1.220000 1.230000
18072 -101.775414 37.258751 9799 -11329587.000000 4147625.250000 1967 2 0.027000 0.043000 0.276000 0.602000 0.834000 1.025000 1.276000 1.886000 2.536000 3.905000 8.023000
10076 -79.370415 36.563751 23904 -8835474.000000 4070258.250000 1967 5 4.814000 5.409000 7.793000 13.065000 14.626000 16.905001 18.952000 19.992001 20.448000 21.289000 22.427000
17087 -96.854584 41.321251 13629 -10781803.000000 4599860.500000 1967 5 6.116000 9.514000 11.961000 13.677000 18.403000 20.048000 21.048000 22.319000 23.398001 25.542000 30.865000
36557 145.967911 -17.384583 38298 16249073.000000 -1935242.875000 1967 7 146.000000 152.800003 162.100006 172.399994 183.699997 194.000000 207.399994 219.600006 230.800003 241.199997 247.000000
2349 -116.952080 49.907917 5719 -13019046.000000 5555724.000000 1967 8 21.000000 22.680000 24.070000 24.740000 28.440001 32.599998 36.669998 41.599998 46.860001 51.500000 53.200001
2368 -115.772087 49.890415 5739 -12887690.000000 5553775.500000 1967 8 0.048000 0.053000 0.056000 0.059000 0.067000 0.079000 0.098000 0.126000 0.151000 0.173000 0.204000
30954 -122.232086 49.002083 1940 -13606814.000000 5454887.000000 1967 8 0.368000 0.392000 0.422000 0.443000 0.468000 0.470000 0.496000 0.575000 0.773000 1.542000 7.390000
17323 -95.633751 39.046249 14819 -10645900.000000 4346608.500000 1967 9 0.045000 0.048000 0.113000 0.117000 0.134000 0.155000 0.227000 0.273000 0.595000 1.919000 29.042999
33196 -39.224583 -10.999583 30377 -4366460.500000 -1224468.000000 1967 11 0.878000 0.892000 0.920000 0.977000 1.062000 1.246000 1.487000 1.798000 2.138000 4.403000 6.031000
17323 -95.633751 39.046249 14819 -10645900.000000 4346608.500000 1967 12 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.001000 0.002000 0.003000 0.004000
10711 -81.002083 28.131250 19880 -9017111.000000 3131556.500000 1968 3 1.048000 1.110000 1.181000 1.240000 1.300000 1.444000 1.594000 1.812000 2.010000 2.401000 2.945000
38263 145.176254 -37.750416 39731 16160947.000000 -4202357.000000 1968 3 2.322000 2.900000 4.446000 5.329000 5.689000 6.116000 6.513000 6.649000 7.091000 7.612000 8.353000
34438 -46.354584 -23.209583 28709 -5160168.500000 -2583679.000000 1968 5 102.507004 109.585999 113.946999 120.063004 122.272003 128.557999 133.457001 139.884995 146.483002 151.042007 159.139999
39536 150.036255 -29.447083 37354 16701959.000000 -3278034.250000 1968 6 0.538000 0.566000 0.750000 0.977000 1.133000 1.430000 1.713000 2.322000 3.794000 23.785999 118.931000
5773 30.148750 -29.442083 34014 3356143.500000 -3277477.750000 1968 7 0.708000 0.765000 0.821000 0.872000 0.932000 0.963000 1.107000 1.257000 1.396000 1.535000 1.614000
4875 9.724584 60.375416 31196 1082535.750000 6720960.500000 1968 9 0.793000 0.793000 0.864000 0.906000 0.934000 0.934000 0.963000 0.991000 1.090000 1.218000 1.303000
29270 -99.907913 50.359585 12528 -11121698.000000 5606003.500000 1968 10 0.708000 0.708000 0.765000 0.765000 0.765000 0.765000 0.793000 0.799000 0.821000 0.821000 1.019000
40451 115.915413 -31.377916 35067 12903645.000000 -3492973.750000 1968 10 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
18482 -90.847084 33.397083 17933 -10113051.000000 3717746.250000 1968 12 0.056000 0.065000 0.093000 0.094000 0.107000 0.111000 0.120000 0.129000 0.295000 0.880000 2.654000
61 -72.922081 -40.436249 26428 -8117649.000000 -4501342.500000 1968 12 0.295000 0.310000 0.364000 0.393000 0.462000 0.549000 0.686000 0.892000 1.280000 1.750000 3.710000
